Annotations,Score,CR Author A,CR Author B,Review URL A,Review URL B,Text Fragments A,Text Fragments B,Entities A,Entities B,Keywords A,Keywords B,Citations A,Citations B,URI A,URI B
E,1.0600323698207732,politifact,politifact,http://www.politifact.com/wisconsin/statements/2012/jan/05/chris-abele/milwaukee-county-executive-chris-abele-says-county/,http://www.politifact.com/wisconsin/statements/2011/sep/02/chris-abele/milwaukee-county-executive-chris-abele-says-county/,Milwaukee County Executive Chris Abele says county buses are no less safe now than a year or two ago,Milwaukee County Executive Chris Abele says county buses are no less safe now than a year or two ago,"CBS 58,Chris Abele,David A. Clarke Jr,Ed Flynn,G4S,Milwaukee County Transit System,Wackenhut,here. It","CBS 58,Chris Abele,David A. Clarke Jr,Ed Flynn,G4S,Milwaukee County Transit System,Wackenhut,here. It","Crime,Transportation","Crime,Transportation","http://www.cbs58.com/news/local-news/More-Bus-Violence-135710028.html?skipthumb=Y, http://www.cbs58.com/news/local-news/More-Bus-Violence-135710028.html?skipthumb=Y, http://www.620wtmj.com/news/local/135318873.html, http://www.cbs58.com/news/local-news/More-Bus-Violence-135710028.html?skipthumb=Y, http://beta.realmilwaukeenow.com/2011/milwaukee-co-sheriff-david-clarke-speaks-frankly-on-real-milwaukee/, http://beta.realmilwaukeenow.com/2011/milwaukee-co-sheriff-david-clarke-speaks-frankly-on-real-milwaukee/, http://www.cbs58.com/news/local-news/More-Bus-Violence-135710028.html?skipthumb=Y, http://www.cbs58.com/news/local-news/More-Bus-Violence-135710028.html?skipthumb=Y, http://www.fox6now.com/news/witi-20111219-mpd-on-buses, http://media.jsonline.com/documents/Transit+Fact+Sheets.pdf, http://media.jsonline.com/documents/Transit+Fact+Sheets.pdf, http://www.ridemcts.com/, http://media.jsonline.com/documents/Bus+stats.pdf, http://media.jsonline.com/documents/Bus+stats.pdf, http://media.jsonline.com/documents/Bus+stats.pdf","http://www.cbs58.com/news/local-news/More-Bus-Violence-135710028.html?skipthumb=Y, http://www.cbs58.com/news/local-news/More-Bus-Violence-135710028.html?skipthumb=Y, http://www.620wtmj.com/news/local/135318873.html, http://www.cbs58.com/news/local-news/More-Bus-Violence-135710028.html?skipthumb=Y, http://beta.realmilwaukeenow.com/2011/milwaukee-co-sheriff-david-clarke-speaks-frankly-on-real-milwaukee/, http://beta.realmilwaukeenow.com/2011/milwaukee-co-sheriff-david-clarke-speaks-frankly-on-real-milwaukee/, http://www.cbs58.com/news/local-news/More-Bus-Violence-135710028.html?skipthumb=Y, http://www.cbs58.com/news/local-news/More-Bus-Violence-135710028.html?skipthumb=Y, http://www.fox6now.com/news/witi-20111219-mpd-on-buses, http://media.jsonline.com/documents/Transit+Fact+Sheets.pdf, http://media.jsonline.com/documents/Transit+Fact+Sheets.pdf, http://www.ridemcts.com/, http://media.jsonline.com/documents/Bus+stats.pdf, http://media.jsonline.com/documents/Bus+stats.pdf, http://media.jsonline.com/documents/Bus+stats.pdf",http://data.gesis.org/claimskg/creative_work/39f7c214-1c7f-5743-be06-3986f3d0ffda,http://data.gesis.org/claimskg/creative_work/39f7c214-1c7f-5743-be06-3986f3d0ffda
E,1.0352840978838664,politifact,politifact,http://www.politifact.com/wisconsin/statements/2011/jan/27/chris-abele/milwaukee-county-executive-candidate-chris-abele-s/,http://www.politifact.com/wisconsin/statements/2011/jan/13/chris-abele/milwaukee-county-executive-candidate-chris-abele-s/,Milwaukee County executive candidate Chris Abele says opponent Jeff Stone = Scott Walker,Milwaukee County executive candidate Chris Abele says opponent Jeff Stone = Scott Walker,"AFL-CIO,Chris Abele,F. Thomas Ament,Jeff Stone,League of Conservation Voters,Mark Neumann,Milwaukee County,Nancy Pelosi,Republican,Scott Walker,Tom Barrett,Wisconsin Manufacturers & Commerce,a bad,a man,abortion,commuter rail,doppelganger,light rail,s special","AFL-CIO,Chris Abele,F. Thomas Ament,Jeff Stone,League of Conservation Voters,Mark Neumann,Milwaukee County,Nancy Pelosi,Republican,Scott Walker,Tom Barrett,Wisconsin Manufacturers & Commerce,a bad,a man,abortion,commuter rail,doppelganger,light rail,s special","Candidate Biography,Job Accomplishments,State Budget,Taxes","Candidate Biography,Job Accomplishments,State Budget,Taxes","https://www.youtube.com/watch?v=Nkjmoht6RXo&feature=player_embedded, http://politifact.com/wisconsin/statements/2010/sep/09/scott-walker/scott-walker-says-mark-neumann-nancy-pelosi/, http://politifact.com/wisconsin/statements/2011/mar/25/jeff-stone/collective-bargaining-stones-votes-were-consistent/, http://politifact.com/wisconsin/statements/2011/mar/25/jeff-stone/collective-bargaining-stones-votes-were-consistent/, http://www.jsonline.mobi/more/news/117435803.htm","https://www.youtube.com/watch?v=Nkjmoht6RXo&feature=player_embedded, http://politifact.com/wisconsin/statements/2010/sep/09/scott-walker/scott-walker-says-mark-neumann-nancy-pelosi/, http://politifact.com/wisconsin/statements/2011/mar/25/jeff-stone/collective-bargaining-stones-votes-were-consistent/, http://politifact.com/wisconsin/statements/2011/mar/25/jeff-stone/collective-bargaining-stones-votes-were-consistent/, http://www.jsonline.mobi/more/news/117435803.htm",http://data.gesis.org/claimskg/creative_work/7f4bbb7a-f940-5a74-aaff-4902e1ac3911,http://data.gesis.org/claimskg/creative_work/7f4bbb7a-f940-5a74-aaff-4902e1ac3911
E,1.0317306315751822,politifact,politifact,http://www.politifact.com/wisconsin/statements/2010/sep/29/tom-barrett/tom-barrett-says-gubernatorial-rival-scott-walker-/,http://www.politifact.com/wisconsin/statements/2010/oct/15/tom-barrett/tom-barrett-says-gubernatorial-rival-scott-walker-/,Tom Barrett says gubernatorial rival Scott Walker eliminated economic development office during recession,Tom Barrett says gubernatorial rival Scott Walker eliminated economic development office during recession,"F. Thomas Ament,Great Recession,Jim Doyle,Milwaukee County,National Bureau of Economic Research,Scott Walker,Tom Barrett,Wisconsin","F. Thomas Ament,Great Recession,Jim Doyle,Milwaukee County,National Bureau of Economic Research,Scott Walker,Tom Barrett,Wisconsin","Jobs,Message Machine 2010","Jobs,Message Machine 2010","https://www.youtube.com/watch?v=PZOuufgoMFI, https://www.nber.org/, http://www.jsonline.com/news/milwaukee/32471069.html, http://www.jsonline.com/business/40460887.html, http://www.jsonline.com/business/40460887.html","https://www.youtube.com/watch?v=PZOuufgoMFI, https://www.nber.org/, http://www.jsonline.com/news/milwaukee/32471069.html, http://www.jsonline.com/business/40460887.html, http://www.jsonline.com/business/40460887.html",http://data.gesis.org/claimskg/creative_work/f9472349-2596-51e7-9bb3-38bdee791da4,http://data.gesis.org/claimskg/creative_work/f9472349-2596-51e7-9bb3-38bdee791da4
ST,0.9537984104735985,politifact,politifact,http://www.politifact.com/truth-o-meter/statements/2009/nov/19/recoverygov/recoverygov-shows-jobs-congressional-districts-don/,http://www.politifact.com/truth-o-meter/statements/2009/nov/24/jeff-miller/recovery-gov-assigns-statewide-education-jobs-one/,Recovery.gov shows jobs in Congressional districts that don't exist,Recovery.gov assigns statewide education jobs to one congressional district,"ABC News,Barack Obama,Cash for Clunkers,Government Accountability Office,Gross Domestic Product,Lincoln Diaz-Balart,Obama administration,Recovery.gov,Rush Limbaugh,White House,be construction,to show,working. The Web","ABC News,Allen Boyd,Barack Obama,Cash for Clunkers,Charlie Crist,Democrat,Florida Department of Education,Government Accountability Office,Gross Domestic Product,Jeff Miller,Kathy Castor,Leon County,Obama administration,PolitiFact,Recovery.gov,Rep. Jeff Miller,Republican,Rush Limbaugh,Tallahassee,White House","Economy,Stimulus","Economy,Stimulus,Workers","http://www.tampabay.com/universal/politifact/photos/recovery.gov.jpg, https://www.politifact.com/truth-o-meter/statements/2009/may/29/barack-obama/150000-jobs-created-or-saved-maybe/, https://www.politifact.com/truth-o-meter/statements/2009/nov/03/rush-limbaugh/rush-limbaugh-said-bump-gdp-due-cash-clunkers-and-/","http://www.tampabay.com/universal/politifact/photos/recovery.gov.jpg, https://www.politifact.com/truth-o-meter/statements/2009/nov/24/jeff-miller/nonexistent-congressional-districts-recovery-gov/, http://www.recovery.gov/transparency/pages/recipientprojectsummary508.aspx?awardidsur=27327&awardtype=Grants, https://www.politifact.com/truth-o-meter/statements/2009/may/29/barack-obama/150000-jobs-created-or-saved-maybe/, https://www.politifact.com/truth-o-meter/statements/2009/nov/03/rush-limbaugh/rush-limbaugh-said-bump-gdp-due-cash-clunkers-and-/",http://data.gesis.org/claimskg/creative_work/7b0543b0-5607-5b03-858d-160cdd34ec4e,http://data.gesis.org/claimskg/creative_work/82552db0-d44d-56c4-97cf-791cbc08336d
E*,0.9112307349136147,politifact,politifact,http://www.politifact.com/florida/statements/2011/feb/10/rick-scott/rick-scotts-budget-includes-some-big-tax-cuts-not-/,http://www.politifact.com/florida/statements/2011/mar/08/rick-scott/gov-rick-scott-says-budget-cuts-taxes-2-billion/,"Rick Scott's budget includes some big tax cuts, but not all for you",Gov. Rick Scott says budget cuts taxes by $2 billion,"Jerry McDaniel,Rick Scott,Senate Budget Committee,ammonia,fertilizer,income tax,lead acid batteries,property tax,sound bite,to show,unemployment compensation","Rick Scott,ammonia,fertilizer,lead acid batteries,property tax,unemployment compensation","State Budget,Taxes",State Budget,"http://letsgettowork.state.fl.us/Highlights/Step6/..%5C..%5Cimages%5CGraphs%5C2011-Major-Tax-Reforms.pdf, http://www.floridatoday.com/article/20110208/NEWS01/102080324/Budget-s-effect-in-Brevard, http://letsgettowork.state.fl.us/Highlights/Step7/..%5C..%5Cimages%5Cgraphs%5C2011-Eliminate-Florida-Corporate-Income-Tax.pdf, http://letsgettowork.state.fl.us/Highlights/Step6/Step6ReducePropertyTax.aspx, http://letsgettowork.state.fl.us/Highlights/Step6/Step6ReducePropertyTax.aspx, https://www.politifact.com/florida/promises/scott-o-meter/promise/613/reduce-property-tax-required-local-effort-by-1-m/, http://edr.state.fl.us/Content/conferences/population/demographictables.pdf, http://edr.state.fl.us/Content/population-demographics/data/Methodology_Estimates.pdf","http://letsgettowork.state.fl.us/Highlights/Step6/..%5C..%5Cimages%5CGraphs%5C2011-Major-Tax-Reforms.pdf, http://letsgettowork.state.fl.us/Highlights/Step7/..%5C..%5Cimages%5Cgraphs%5C2011-Eliminate-Florida-Corporate-Income-Tax.pdf, http://letsgettowork.state.fl.us/Highlights/Step6/Step6ReducePropertyTax.aspx, http://letsgettowork.state.fl.us/Highlights/Step6/Step6ReducePropertyTax.aspx, https://www.politifact.com/florida/promises/scott-o-meter/promise/613/reduce-property-tax-required-local-effort-by-1-m/",http://data.gesis.org/claimskg/creative_work/84a1e83a-1785-5d63-a3a2-cdd4f0ad7fe9,http://data.gesis.org/claimskg/creative_work/42ccbf73-9030-5c52-b9ac-fca135c94d26
E,0.890842134898809,politifact,politifact,http://www.politifact.com/ohio/statements/2011/oct/24/josh-mandel/josh-mandel-campaign-says-sherrod-brown-owns-ohios/,http://www.politifact.com/texas/statements/2011/oct/24/josh-mandel/josh-mandel-campaign-says-sherrod-brown-owns-ohios/,Josh Mandel campaign says Sherrod Brown owns Ohio's horrendous job numbers,Josh Mandel campaign says Sherrod Brown owns Ohio's horrendous job numbers,"2.2 million,American Recovery and Reinvestment Act of 2009,Bureau of Labor Statistics,Dennis Hastert,Josh Mandel,Labor Day,Plain Dealer,Policy Matters Ohio,PolitiFact,Republican,Rick Perry,Sherrod Brown,U.S. House of Representatives,U.S. Senate,big job,blame game,conservative,financial regulation,greenhouse gas,the power,think tank,veering","2.2 million,American Recovery and Reinvestment Act of 2009,Bureau of Labor Statistics,Dennis Hastert,Josh Mandel,Labor Day,Plain Dealer,Policy Matters Ohio,PolitiFact,Republican,Rick Perry,Sherrod Brown,U.S. House of Representatives,U.S. Senate,big job,blame game,conservative,financial regulation,greenhouse gas,the power,think tank,veering","Economy,Job Accomplishments,Jobs","Economy,Job Accomplishments,Jobs","http://www.policymattersohio.org/pdf/SOWO2011.pdf, https://www.politifact.com/texas/statements/2011/jun/26/rick-perry/rick-perry-says-texas-accounted-48-percent-us-jobs/","http://www.policymattersohio.org/pdf/SOWO2011.pdf, https://www.politifact.com/texas/statements/2011/jun/26/rick-perry/rick-perry-says-texas-accounted-48-percent-us-jobs/",http://data.gesis.org/claimskg/creative_work/cf0fbc29-a187-5704-a15d-219ebdd56d96,http://data.gesis.org/claimskg/creative_work/ce537101-7b2a-51fc-821a-a715e37cbbfe
E,0.8873517794397963,politifact,politifact,http://www.politifact.com/rhode-island/statements/2012/aug/19/barry-hinckley/us-senate-candidate-barry-hinckley-says-incumbent-/,http://www.politifact.com/rhode-island/statements/2012/oct/07/barry-hinckley/us-senate-candidate-barry-hinckley-says-incumbent-/,U.S. Senate candidate Barry Hinckley says incumbent Sen. Sheldon Whitehouse voted for a $525-billion tax hike on the middle class,U.S. Senate candidate Barry Hinckley says incumbent Sen. Sheldon Whitehouse voted for a $525-billion tax hike on the middle class,"Affordable Care Act,Barry Hinckley,Congressional Budget Office,Facebook,Joint Committee on Taxation,Medicare,Obamacare,Patrick Sweeney,PolitiFact,Sheldon Whitehouse,Twitter,U.S. Supreme Court,excise tax,individual mandate,indoor tanning,insider trading","Affordable Care Act,Barry Hinckley,Congressional Budget Office,Facebook,Joint Committee on Taxation,Medicare,Obamacare,Patrick Sweeney,PolitiFact,Sheldon Whitehouse,Twitter,U.S. Supreme Court,excise tax,individual mandate,indoor tanning,insider trading","Economy,Health Care,Message Machine 2012,Taxes,Voting Record","Economy,Health Care,Message Machine 2012,Taxes,Voting Record","https://www.youtube.com/watch?v=aX_EQYEyygE, https://www.politifact.com/rhode-island/statements/2012/jun/30/barry-hinckley/republican-us-senate-candidate-barry-hinckley-says/, https://www.jct.gov/publications.html?func=startdown&id=3672, https://www.bcbsri.com/BCBSRIWeb/pdf/Individual_Mandate_Fact_Sheet.pdf, https://www.politifact.com/rhode-island/about/, https://twitter.com/#%21/PolitiFactRI, https://www.facebook.com/pages/PolitiFact-Rhode-Island/108242095907358","https://www.youtube.com/watch?v=aX_EQYEyygE, https://www.politifact.com/rhode-island/statements/2012/jun/30/barry-hinckley/republican-us-senate-candidate-barry-hinckley-says/, https://www.jct.gov/publications.html?func=startdown&id=3672, https://www.bcbsri.com/BCBSRIWeb/pdf/Individual_Mandate_Fact_Sheet.pdf, https://www.politifact.com/rhode-island/about/, https://twitter.com/#%21/PolitiFactRI, https://www.facebook.com/pages/PolitiFact-Rhode-Island/108242095907358",http://data.gesis.org/claimskg/creative_work/90013e8c-e727-5ac7-8fa6-03d84a0a03fe,http://data.gesis.org/claimskg/creative_work/90013e8c-e727-5ac7-8fa6-03d84a0a03fe
E*,0.8833325971602463,politifact,politifact,http://www.politifact.com/ohio/statements/2011/jul/15/john-boehner/house-speaker-john-boehner-says-obamas-economists-/,http://www.politifact.com/new-jersey/statements/2011/jul/19/national-republican-congressional-committee/NRCC-stimulus-278k-per-job/,"House Speaker John Boehner says Obama's economists figure stimulus cost at $278,000 per job","NRCC says stimulus supported by New Jersey Democrats cost $278,000 per job","ARRA,Associated Press,Betty Sutton,Council of Economic Advisers,Independence Day,Jay Carney,John Boehner,Mark Zandi,National Republican Congressional Committee,National Republican Senatorial Committee,Oxhorn,POTUS,PolitiFact,Sherrod Brown,Twitter,Weekly Standard,White House,fiscal stimulus","ARRA,Associated Press,Council of Economic Advisers,Frank Pallone,Independence Day,Jay Carney,John Boehner,Mark Zandi,NJ.com,National Republican Congressional Committee,National Republican Senatorial Committee,New Jersey,Oxhorn,POTUS,PolitiFact,Rush Holt,Sherrod Brown,Twitter,Weekly Standard,White House,fiscal stimulus",Stimulus,Stimulus,"https://twitter.com/#%21/johnboehner, http://www.weeklystandard.com/blogs/obama-s-economists-stimulus-has-cost-278000-job_576014.html, http://www.nrcc.org/default.asp?id=274&newsid=3000, http://www.nrsc.org/2011/07/white-house-economists-obama-brown-stimulus-cost-taxpayers-278000-per-job/, https://www.whitehouse.gov/sites/default/files/cea_7th_arra_report.pdf, https://www.whitehouse.gov/administration/eop/cea, http://seattletimes.nwsource.com/html/businesstechnology/2010183560_apusfactcheckstimulusmath.html, http://tpmdc.talkingpointsmemo.com/2011/07/republicans-falsely-claim-obama-advisers-burying-data-proving-stimulus-is-hurting-economy.php, http://www.weeklystandard.com/print/blogs/despite-white-protests-stimulus-still-cost-taxpayers-278000-job_576348.html, http://www.cleveland.com/open/index.ssf/2011/07/house_speaker_john_boehner_say.html","https://twitter.com/#%21/johnboehner, http://www.weeklystandard.com/blogs/obama-s-economists-stimulus-has-cost-278000-job_576014.html, http://www.nrcc.org/default.asp?id=274&newsid=3000, http://www.nrsc.org/2011/07/white-house-economists-obama-brown-stimulus-cost-taxpayers-278000-per-job/, https://www.whitehouse.gov/sites/default/files/cea_7th_arra_report.pdf, https://www.whitehouse.gov/administration/eop/cea, http://seattletimes.nwsource.com/html/businesstechnology/2010183560_apusfactcheckstimulusmath.html, http://tpmdc.talkingpointsmemo.com/2011/07/republicans-falsely-claim-obama-advisers-burying-data-proving-stimulus-is-hurting-economy.php, http://www.weeklystandard.com/print/blogs/despite-white-protests-stimulus-still-cost-taxpayers-278000-job_576348.html, http://www.nj.com/news/index.ssf/2011/07/politifact_new_jersey_gop_comm.html",http://data.gesis.org/claimskg/creative_work/2f315809-1b99-5c98-ae21-879002799cc9,http://data.gesis.org/claimskg/creative_work/85eecc92-d15c-5be2-b391-e4e2735a4f10
E,0.8814622627018786,politifact,politifact,http://www.politifact.com/wisconsin/statements/2011/jan/31/jeff-stone/milwaukee-county-executive-candidate-jeff-stone-sa/,http://www.politifact.com/wisconsin/statements/2011/feb/11/jeff-stone/milwaukee-county-executive-candidate-jeff-stone-sa/,Milwaukee County executive candidate Jeff Stone says he’s the only candidate who has voted against increasing government pensions,Milwaukee County executive candidate Jeff Stone says he’s the only candidate who has voted against increasing government pensions,"Chris Abele,Democrat,F. Thomas Ament,Jeff Stone,P-word,Scott Walker,primary election","Chris Abele,Democrat,F. Thomas Ament,Jeff Stone,P-word,Scott Walker,primary election","Candidate Biography,County Budget,State Budget","Candidate Biography,County Budget,State Budget","http://www.stoneleadership.com/media/podcast-and-radio/, http://www.stoneleadership.com/media/podcast-and-radio/, http://www.jsonline.com/blogs/news/115650659.html, http://www.wispolitics.com/1006/060911GMCbudget.pdf, http://www.wispolitics.com/1006/060911GMCbudget.pdf","http://www.stoneleadership.com/media/podcast-and-radio/, http://www.stoneleadership.com/media/podcast-and-radio/, http://www.jsonline.com/blogs/news/115650659.html, http://www.wispolitics.com/1006/060911GMCbudget.pdf, http://www.wispolitics.com/1006/060911GMCbudget.pdf",http://data.gesis.org/claimskg/creative_work/4f4cefcb-3619-527c-a39d-fade30d81def,http://data.gesis.org/claimskg/creative_work/4f4cefcb-3619-527c-a39d-fade30d81def
E*,0.8752552901433495,politifact,politifact,http://www.politifact.com/truth-o-meter/statements/2011/nov/02/jon-huntsman/Says-Mitt-Romney-flip-flopped-on-abortion/,http://www.politifact.com/truth-o-meter/statements/2011/nov/28/democratic-national-committee/dnc-ad-says-mitt-romney-flip-flopped-abortion/,Jon Huntsman accuses Mitt Romney of flip-flopping on abortion,DNC ad says Mitt Romney flip-flopped on abortion,"Edward Kennedy,Hyde Amendment,Mexico City Policy,Mitt Romney,National Review,Pain-Capable Unborn Child Protection Act,Planned Parenthood,Roe v. Wade,Susan B. Anthony List,United Nations,Utah,abortion,incest,pro-life","Abortion,Barack Obama,Democratic National Committee,Edward Kennedy,Hyde Amendment,Mexico City Policy,Mitt Romney,National Review,Pain-Capable Unborn Child Protection Act,Planned Parenthood,Republican,Roe v. Wade,Susan B. Anthony List,U.S. Senate,United Nations,Utah,abortion,abortion and health,incest,pro-life","Abortion,Message Machine 2012","Abortion,Message Machine 2012","https://www.youtube.com/watch?v=EhyMplwY6HY, http://articles.businessinsider.com/2011-10-28/politics/30331847_1_jon-huntsman-huntsman-spokesman-tim-miller-flip-flops#, http://www.law.cornell.edu/supct/html/historics/USSC_CR_0410_0113_ZS.html, http://www.politico.com/news/stories/0611/57269.html, http://abcnews.go.com/Politics/story?id=3279653&page=1","https://www.youtube.com/watch?v=CUOM9QvhG5I&feature=player_embedded, https://www.youtube.com/watch?v=CUOM9QvhG5I&feature=player_embedded, http://www.mittvmitt.com/, http://www.mittvmitt.com/, https://www.youtube.com/watch?v=EhyMplwY6HY, http://www.law.cornell.edu/supct/html/historics/USSC_CR_0410_0113_ZS.html, http://www.law.cornell.edu/supct/html/historics/USSC_CR_0410_0113_ZS.html, http://www.law.cornell.edu/supct/html/historics/USSC_CR_0410_0113_ZS.html, http://www.politico.com/news/stories/0611/57269.html, http://abcnews.go.com/Politics/story?id=3279653&page=1, http://abcnews.go.com/Politics/story?id=3279653&page=1, http://abcnews.go.com/Politics/story?id=3279653&page=1",http://data.gesis.org/claimskg/creative_work/d572cd4d-7a12-5d69-8642-420e5eb14ab4,http://data.gesis.org/claimskg/creative_work/b131b345-5d3a-5490-8e22-ba3a97ae4a79
