textA,textB,keywordsA,keywordsB,authorA,authorb,named_entitiesA,named_entitiesB
text,text,keywords,keywords,author,author,named_entities_claim,named_entities_claim
'There will be no public funding for abortion in this legislation.','There will be no public funding for abortion in this legislation.',"Abortion,Health Care","Abortion,Health Care",Bart Stupak,Bart Stupak,"Abortion rights,Barack Obama,Bart Stupak,Ben Nelson,Democrat,Fox News,Hyde Amendment,John Boehner,NARAL Pro Choice America,National Organization for Women,National Right to Life Committee,Planned Parenthood,Rep. Randy Neugebauer,Republican,U.S. Conference of Catholic Bishops,abortion,executive order,health care reform bill,incest,quo on,segregated fund","Abortion rights,Barack Obama,Bart Stupak,Ben Nelson,Democrat,Fox News,Hyde Amendment,John Boehner,NARAL Pro Choice America,National Organization for Women,National Right to Life Committee,Planned Parenthood,Rep. Randy Neugebauer,Republican,U.S. Conference of Catholic Bishops,abortion,executive order,health care reform bill,incest,quo on,segregated fund"
'There will be no public funding for abortion in this legislation.',The tax penalty that the government imposes if you don't buy health insurance 'is lower than it would have cost to buy insurance.',"Abortion,Health Care",Health Care,Bart Stupak,Ron DeSantis,"Abortion rights,Barack Obama,Bart Stupak,Ben Nelson,Democrat,Fox News,Hyde Amendment,John Boehner,NARAL Pro Choice America,National Organization for Women,National Right to Life Committee,Planned Parenthood,Rep. Randy Neugebauer,Republican,U.S. Conference of Catholic Bishops,abortion,executive order,health care reform bill,incest,quo on,segregated fund","Barack Obama,Congressional Budget Office,Daytona Beach,Florida,Fox News,Greta Van Susteren,Kaiser Family Foundation,Married couples,Medicaid,Obamacare,PolitiFact,Republican,Ron DeSantis,St. Augustine,Timothy Jost,Washington and Lee School of Law,individual mandate"
'There will be no public funding for abortion in this legislation.',"If you 'already have health insurance through your job, or Medicare, or Medicaid, or the VA, nothing in this plan will require you or your employer to change the coverage or the doctor you have.'","Abortion,Health Care",Health Care,Bart Stupak,Barack Obama,"Abortion rights,Barack Obama,Bart Stupak,Ben Nelson,Democrat,Fox News,Hyde Amendment,John Boehner,NARAL Pro Choice America,National Organization for Women,National Right to Life Committee,Planned Parenthood,Rep. Randy Neugebauer,Republican,U.S. Conference of Catholic Bishops,abortion,executive order,health care reform bill,incest,quo on,segregated fund","Barack Obama,Medicaid,Medicare,the speech"
'There will be no public funding for abortion in this legislation.','Probably less than 4 percent' of Wisconsin residents 'are enjoying the subsidies' from Obamacare.,"Abortion,Health Care",Health Care,Bart Stupak,Ron Johnson,"Abortion rights,Barack Obama,Bart Stupak,Ben Nelson,Democrat,Fox News,Hyde Amendment,John Boehner,NARAL Pro Choice America,National Organization for Women,National Right to Life Committee,Planned Parenthood,Rep. Randy Neugebauer,Republican,U.S. Conference of Catholic Bishops,abortion,executive order,health care reform bill,incest,quo on,segregated fund","Affordable Care Act,Austin Scott,Centers for Medicare and Medicaid Services,Charlie Sykes,Georgia,Kaiser Family Foundation,PolitiFact,Republican,Ron Johnson,U.S. Supreme Court,it, it,poverty threshold"
'There will be no public funding for abortion in this legislation.',"The health care bill will subsidize families of four that make more than $80,000 a year.","Abortion,Health Care",Health Care,Bart Stupak,Orrin Hatch,"Abortion rights,Barack Obama,Bart Stupak,Ben Nelson,Democrat,Fox News,Hyde Amendment,John Boehner,NARAL Pro Choice America,National Organization for Women,National Right to Life Committee,Planned Parenthood,Rep. Randy Neugebauer,Republican,U.S. Conference of Catholic Bishops,abortion,executive order,health care reform bill,incest,quo on,segregated fund","CNN,Do you realize,HMO,Kaiser Family Foundation,Maryland,Medicaid,Medicare,New Jersey,Orrin Hatch,Urban Institute,Utah,a word,federal poverty level,health insurance mandates,that that,the price"
'There will be no public funding for abortion in this legislation.',"Under Barack Obama's health care proposal, 'if you've got a health care plan that you like, you can keep it.'","Abortion,Health Care",Health Care,Bart Stupak,Barack Obama,"Abortion rights,Barack Obama,Bart Stupak,Ben Nelson,Democrat,Fox News,Hyde Amendment,John Boehner,NARAL Pro Choice America,National Organization for Women,National Right to Life Committee,Planned Parenthood,Rep. Randy Neugebauer,Republican,U.S. Conference of Catholic Bishops,abortion,executive order,health care reform bill,incest,quo on,segregated fund","Barack Obama,Medicaid,State Children’s Health Insurance Program"
'There will be no public funding for abortion in this legislation.',"A 'fairly limited number of people, 25 million to 30 million,' will be allowed to access a national health insurance exchange.","Abortion,Health Care",Health Care,Bart Stupak,Claire McCaskill,"Abortion rights,Barack Obama,Bart Stupak,Ben Nelson,Democrat,Fox News,Hyde Amendment,John Boehner,NARAL Pro Choice America,National Organization for Women,National Right to Life Committee,Planned Parenthood,Rep. Randy Neugebauer,Republican,U.S. Conference of Catholic Bishops,abortion,executive order,health care reform bill,incest,quo on,segregated fund","American Medical Association,Barack Obama,Claire McCaskill,Congressional Budget Office,George Stephanopoulos,Getting back,Ron Wyden,Sen. Claire McCaskill,Senate Finance Committee,This Week with George Stephanopoulos,health care reform,health insurance exchange,public option,the  New York Times"
'There will be no public funding for abortion in this legislation.',"'When Sen. Edwards ran in 2004, he wasn't for universal health care. I'm glad he is now.'","Abortion,Health Care",Health Care,Bart Stupak,Hillary Clinton,"Abortion rights,Barack Obama,Bart Stupak,Ben Nelson,Democrat,Fox News,Hyde Amendment,John Boehner,NARAL Pro Choice America,National Organization for Women,National Right to Life Committee,Planned Parenthood,Rep. Randy Neugebauer,Republican,U.S. Conference of Catholic Bishops,abortion,executive order,health care reform bill,incest,quo on,segregated fund","Barack Obama,Dennis Kucinich,Hillary Clinton,John Edwards,Tim Russert,universal health care"
'There will be no public funding for abortion in this legislation.','Teddy Roosevelt first called for (health care) reform nearly a century ago.',"Abortion,Health Care",Health Care,Bart Stupak,Barack Obama,"Abortion rights,Barack Obama,Bart Stupak,Ben Nelson,Democrat,Fox News,Hyde Amendment,John Boehner,NARAL Pro Choice America,National Organization for Women,National Right to Life Committee,Planned Parenthood,Rep. Randy Neugebauer,Republican,U.S. Conference of Catholic Bishops,abortion,executive order,health care reform bill,incest,quo on,segregated fund","Abraham Lincoln,Arizona State University,Bull Moose Party,Democratic Party,East Room,H.W. Brands,Republican,Ronald Reagan,Socialist Party,Teddy Roosevelt,Theodore Roosevelt,White House,William Taft,Woodrow Wilson,child labor,face today,malaria,minimum wage"
