TexteA,TextB,TextAPT,TextBPT,TFIDF,Score Keywords,Score entities,RESULT
textA,textB,texta ,textb ,0.0,0.0,0.0,N
text,text,text ,text ,1.0,1.0,1.0,E
'There will be no public funding for abortion in this legislation.','There will be no public funding for abortion in this legislation.',public funding abortion legislation ,public funding abortion legislation ,1.0,1.0000000000000002,1.0000000000000002,E
'There will be no public funding for abortion in this legislation.',The tax penalty that the government imposes if you don't buy health insurance 'is lower than it would have cost to buy insurance.',public funding abortion legislation ,tax penalty government imposes dont buy health insurance lower would cost buy insurance ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.',"If you 'already have health insurance through your job, or Medicare, or Medicaid, or the VA, nothing in this plan will require you or your employer to change the coverage or the doctor you have.'",public funding abortion legislation ,already health insurance job medicare medicaid va nothing plan require employer change coverage doctor ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.','Probably less than 4 percent' of Wisconsin residents 'are enjoying the subsidies' from Obamacare.,public funding abortion legislation ,probably less four percent wisconsin residents enjoying subsidies obamacare ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.',"The health care bill will subsidize families of four that make more than $80,000 a year.",public funding abortion legislation ,health care bill subsidize families four make 80000 year ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.',"Under Barack Obama's health care proposal, 'if you've got a health care plan that you like, you can keep it.'",public funding abortion legislation ,barack obamas health care proposal youve got health care plan like keep ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.',"A 'fairly limited number of people, 25 million to 30 million,' will be allowed to access a national health insurance exchange.",public funding abortion legislation ,fairly limited number people twentyfive million thirty million allowed access national health insurance exchange ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.',"'When Sen. Edwards ran in 2004, he wasn't for universal health care. I'm glad he is now.'",public funding abortion legislation ,sen edwards ran 2004 wasnt universal health care im glad ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.','Teddy Roosevelt first called for (health care) reform nearly a century ago.',public funding abortion legislation ,teddy roosevelt first called health care reform nearly century ago ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.',"As a candidate, President Obama 'declared that everyone deserves access to reproductive health care that includes abortion, and vowed that this 'right' would be at the heart of his health care reform plan if elected president.'",public funding abortion legislation ,candidate president obama declared everyone deserves access reproductive health care includes abortion vowed right would heart health care reform plan elected president ,0.05,1.0000000000000002,0.0,ST
'There will be no public funding for abortion in this legislation.',"'This (SCHIP) is socialized medicine. It is going to go to families that make $60,000 a year. Those aren't poor children.'",public funding abortion legislation ,schip socialized medicine going go families make 60000 year arent poor children ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.','I personally am pro-choice. I always have been. And I made no qualms about that when I was elected governor.',public funding abortion legislation ,personally prochoice always made qualms elected governor ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.','The costs of cancer and all affiliated issues are over $20 billion a year to this state.',public funding abortion legislation ,costs cancer affiliated issues 20 billion year state ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.','More than half of Planned Parenthood facilities are in rural or medically underserved areas.',public funding abortion legislation ,half planned parenthood facilities rural medically underserved areas ,0.0,0.26055567105626243,0.0,N
'There will be no public funding for abortion in this legislation.','Wisconsin is a Top 10 state for health care coverage.',public funding abortion legislation ,wisconsin top ten state health care coverage ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.',Texas leads 'the nation in the percentage of residents without health insurance.',public funding abortion legislation ,texas leads nation percentage residents without health insurance ,0.0,0.33609692727625756,0.0,N
'There will be no public funding for abortion in this legislation.','They’ve seen employer-supported coverage increase in Massachusetts after this law (Romneycare) was implemented.',public funding abortion legislation ,theyve seen employersupported coverage increase massachusetts law romneycare implemented ,0.0,0.33609692727625756,0.0,N
